
New Run


Round 1:

Epoch 49: train_loss=0.002524, test_loss=0.002368, acc=0.6713
Epoch 50: train_loss=0.001958, test_loss=0.003680, acc=0.5845

Round 3:

Epoch 1: train_loss=0.328577, test_loss=0.673423, acc=0.0000
Epoch 2: train_loss=0.235640, test_loss=0.537749, acc=0.0000
Epoch 3: train_loss=0.165957, test_loss=0.425118, acc=0.0000
Epoch 4: train_loss=0.114248, test_loss=0.330344, acc=0.0000
Epoch 5: train_loss=0.077005, test_loss=0.250779, acc=0.0000
Epoch 6: train_loss=0.052372, test_loss=0.185596, acc=0.0000
Epoch 7: train_loss=0.039189, test_loss=0.134749, acc=0.0000
Epoch 8: train_loss=0.035941, test_loss=0.098192, acc=0.0000
Epoch 9: train_loss=0.039889, test_loss=0.075085, acc=0.0000
Epoch 10: train_loss=0.046818, test_loss=0.063100, acc=0.0000
Epoch 11: train_loss=0.052475, test_loss=0.059365, acc=0.0000
Epoch 12: train_loss=0.054603, test_loss=0.061802, acc=0.0000
Epoch 13: train_loss=0.053138, test_loss=0.069259, acc=0.0000
Epoch 14: train_loss=0.049244, test_loss=0.081064, acc=0.0000
Epoch 15: train_loss=0.044442, test_loss=0.096581, acc=0.0000
Epoch 16: train_loss=0.040079, test_loss=0.114934, acc=0.0000
Epoch 17: train_loss=0.037071, test_loss=0.134853, acc=0.0000
Epoch 18: train_loss=0.035802, test_loss=0.154670, acc=0.0000
Epoch 19: train_loss=0.036138, test_loss=0.172468, acc=0.0000
Epoch 20: train_loss=0.037533, test_loss=0.186438, acc=0.0000
Epoch 21: train_loss=0.039238, test_loss=0.195323, acc=0.0000
Epoch 22: train_loss=0.040568, test_loss=0.198695, acc=0.0000
Epoch 23: train_loss=0.041113, test_loss=0.196909, acc=0.0000
Epoch 24: train_loss=0.040800, test_loss=0.190861, acc=0.0000
Epoch 25: train_loss=0.039820, test_loss=0.181718, acc=0.0000
Epoch 26: train_loss=0.038498, test_loss=0.170698, acc=0.0000
Epoch 27: train_loss=0.037171, test_loss=0.158930, acc=0.0000
Epoch 28: train_loss=0.036106, test_loss=0.147368, acc=0.0000
Epoch 29: train_loss=0.035452, test_loss=0.136763, acc=0.0000
Epoch 30: train_loss=0.035228, test_loss=0.127657, acc=0.0000
Epoch 31: train_loss=0.035345, test_loss=0.120400, acc=0.0000
Epoch 32: train_loss=0.035644, test_loss=0.115177, acc=0.0000
Epoch 33: train_loss=0.035944, test_loss=0.112039, acc=0.0000
Epoch 34: train_loss=0.036095, test_loss=0.110924, acc=0.0000
Epoch 35: train_loss=0.036006, test_loss=0.111686, acc=0.0000
Epoch 36: train_loss=0.035665, test_loss=0.114103, acc=0.0000
Epoch 37: train_loss=0.035123, test_loss=0.117880, acc=0.0000
Epoch 38: train_loss=0.034475, test_loss=0.122653, acc=0.0000
Epoch 39: train_loss=0.033824, test_loss=0.127986, acc=0.0000
